name,kind,description,feature,effect,weight,confidence,frozen,evidence_count
reaction_7deb10577c5e,soft,Reaction principle: 酸酐-胺开环形成酰胺酸。,reaction::酸酐-胺开环形成酰胺酸。,1.0,0.42,0.5589616118525583,False,120
reaction_b793ac896a4f,soft,Reaction principle: 环氧-羧酸开环酯化。,reaction::环氧-羧酸开环酯化。,1.0,0.42,0.5579251103591599,False,186
sulfone_diamine_rigidity,soft,Sulfone-linked aromatic diamines are common high-Tg hard segments.,sulfone_linker,1.0,0.55,0.5575548604661836,False,377
nitrile_rich_rigidity,soft,Nitrile-rich aromatic monomers often stiffen networks.,nitrile_rich,1.0,0.45,0.5570254247533325,False,111
reaction_aaba7fbe7783,soft,Reaction principle: 异氰酸酯-羟基形成聚氨酯。,reaction::异氰酸酯-羟基形成聚氨酯。,1.0,0.42,0.5565577250588531,False,79
reaction_8122f963caab,soft,Reaction principle: 环氧-酸酐固化，常需催化剂。,reaction::环氧-酸酐固化，常需催化剂。,1.0,0.42,0.5540156263295919,False,4
reaction_cc7f1a60f1af,soft,Reaction principle: 环氧-羟基醚化，常需催化剂。,reaction::环氧-羟基醚化，常需催化剂。,1.0,0.42,0.5533602877098824,False,333
reaction_839cd29ef5d7,soft,Reaction principle: 环氧-伯胺开环固化。,reaction::环氧-伯胺开环固化。,1.0,0.42,0.5517358848287113,False,175
reaction_a5dd26ae10ad,soft,Reaction principle: 异氰酸酯-伯胺形成聚脲。,reaction::异氰酸酯-伯胺形成聚脲。,1.0,0.42,0.5504268316130089,False,32
reaction_1d41d1c7896e,soft,Reaction principle: 酸酐-酚羟基酯化。,reaction::酸酐-酚羟基酯化。,1.0,0.42,0.55,False,0
reaction_bc75cf8f07d2,soft,Reaction principle: 异氰酸酯-酚羟基形成氨基甲酸酯。,reaction::异氰酸酯-酚羟基形成氨基甲酸酯。,1.0,0.42,0.55,False,0
reaction_michael_thiol_ene,soft,Reaction principle: 硫醇-Michael/thiol-ene 反应。,reaction::硫醇-Michael/thiol-ene 反应。,1.0,0.42,0.55,False,0
reaction_461e81fa276b,soft,Reaction principle: 自由基均/共聚形成交联网络。,reaction::自由基均/共聚形成交联网络。,1.0,0.42,0.55,False,0
reaction_ee82a65db02c,soft,Reaction principle: 氰酸酯三聚形成三嗪网络。,reaction::氰酸酯三聚形成三嗪网络。,1.0,0.42,0.55,False,0
reaction_michael,soft,Reaction principle: 马来酰亚胺-硫醇 Michael 加成。,reaction::马来酰亚胺-硫醇 Michael 加成。,1.0,0.42,0.55,False,0
reaction_2f387d801461,soft,Reaction principle: 酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,reaction::酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,1.0,0.42,0.5498728178053605,False,94
reaction_aab22a9380a2,soft,Reaction principle: 马来酰亚胺与烯基共聚/加成。,reaction::马来酰亚胺与烯基共聚/加成。,1.0,0.42,0.548647452822974,False,164
reaction_1ef23bb55506,soft,Reaction principle: 硫醇-烯点击反应。,reaction::硫醇-烯点击反应。,1.0,0.42,0.5452358222070789,False,64
reaction_2ee4496097cb,soft,Reaction principle: 氰酸酯-酚共固化/催化三聚。,reaction::氰酸酯-酚共固化/催化三聚。,1.0,0.42,0.5423516825960727,False,57
reaction_e3ab71c1126b,soft,Reaction principle: 酸酐-羟基酯化。,reaction::酸酐-羟基酯化。,1.0,0.42,0.5419092025698923,False,292
reaction_bd312644298f,soft,Reaction principle: 自由基共聚。,reaction::自由基共聚。,1.0,0.42,0.5159214663746089,False,33
observed_three_or_more_component_blending,soft,Observed near-target candidates where n>=3 tunes Tg toward the target.,three_or_more_component_blending,1.0,0.35,0.45495852095595185,False,651
observed_template_generated_monomers,soft,Observed generated template monomers passing validators and producing near-target predictions.,contains_generated,1.0,0.25,0.4204217612900441,False,210
observed_chembl_transferable_monomers,soft,Observed ChEMBL molecules passing hard validators and producing near-target predictions.,contains_chembl,1.0,0.25,0.4202974259985313,False,1242
