name,kind,description,feature,effect,weight,confidence,frozen,evidence_count
reaction_1ef23bb55506,soft,Reaction principle: 硫醇-烯点击反应。,reaction::硫醇-烯点击反应。,1.0,0.42,0.55,False,0
reaction_michael_thiol_ene,soft,Reaction principle: 硫醇-Michael/thiol-ene 反应。,reaction::硫醇-Michael/thiol-ene 反应。,1.0,0.42,0.55,False,0
reaction_bd312644298f,soft,Reaction principle: 自由基共聚。,reaction::自由基共聚。,1.0,0.42,0.55,False,0
reaction_461e81fa276b,soft,Reaction principle: 自由基均/共聚形成交联网络。,reaction::自由基均/共聚形成交联网络。,1.0,0.42,0.55,False,0
reaction_ee82a65db02c,soft,Reaction principle: 氰酸酯三聚形成三嗪网络。,reaction::氰酸酯三聚形成三嗪网络。,1.0,0.42,0.55,False,0
reaction_michael,soft,Reaction principle: 马来酰亚胺-硫醇 Michael 加成。,reaction::马来酰亚胺-硫醇 Michael 加成。,1.0,0.42,0.55,False,0
reaction_839cd29ef5d7,soft,Reaction principle: 环氧-伯胺开环固化。,reaction::环氧-伯胺开环固化。,1.0,0.42,0.5499789595988236,False,14
reaction_e3ab71c1126b,soft,Reaction principle: 酸酐-羟基酯化。,reaction::酸酐-羟基酯化。,1.0,0.42,0.5469351807173498,False,49
reaction_7deb10577c5e,soft,Reaction principle: 酸酐-胺开环形成酰胺酸。,reaction::酸酐-胺开环形成酰胺酸。,1.0,0.42,0.546537875881653,False,16
reaction_536dfe22d324,soft,Reaction principle: 氰酸酯-胺共反应。,reaction::氰酸酯-胺共反应。,1.0,0.42,0.5443196615210493,False,3
reaction_b793ac896a4f,soft,Reaction principle: 环氧-羧酸开环酯化。,reaction::环氧-羧酸开环酯化。,1.0,0.42,0.5434482374720161,False,14
reaction_cc7f1a60f1af,soft,Reaction principle: 环氧-羟基醚化，常需催化剂。,reaction::环氧-羟基醚化，常需催化剂。,1.0,0.42,0.5421236639109994,False,26
observed_three_or_more_component_blending,soft,Observed near-target candidates where n>=3 tunes Tg toward the target.,three_or_more_component_blending,1.0,0.35,0.45,False,0
observed_template_generated_monomers,soft,Observed generated template monomers passing validators and producing near-target predictions.,contains_generated,1.0,0.25,0.4274064876442254,False,21
observed_chembl_transferable_monomers,soft,Observed ChEMBL molecules passing hard validators and producing near-target predictions.,contains_chembl,1.0,0.25,0.4197587311459761,False,76
